,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
0,1,FS-1418826,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,1,PNF-47,BJ8K,FOUNTAIN,,,,,,2005,2453403.5,33,1300,9.0,Miscellaneous,2453403.5,33.0,1730,0.1,A,40.03694444,-121.00583333,5.0,USFS,CA,63,063,Plumas
1,2,FS-1418827,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,13,13,AAC0,PIGEON,,,,,,2004,2453137.5,133,0845,1.0,Lightning,2453137.5,133.0,1530,0.25,A,38.93305556,-120.40444444,5.0,USFS,CA,61,061,Placer
2,3,FS-1418835,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,27,021,A32W,SLACK,,,,,,2004,2453156.5,152,1921,5.0,Debris Burning,2453156.5,152.0,2024,0.1,A,38.98416667,-120.73555556,13.0,STATE OR PRIVATE,CA,17,017,El Dorado
3,4,FS-1418845,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,43,6,,DEER,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1400,0.1,A,38.55916667,-119.91333333,5.0,USFS,CA,3,003,Alpine
4,5,FS-1418847,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,44,7,,STEVENOT,,,,,,2004,2453184.5,180,1600,1.0,Lightning,2453189.5,185.0,1200,0.1,A,38.55916667,-119.93305556,5.0,USFS,CA,3,003,Alpine
5,6,FS-1418849,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,54,8,,HIDDEN,,,,,,2004,2453186.5,182,1800,1.0,Lightning,2453187.5,183.0,1600,0.1,A,38.63527778,-120.10361111,5.0,USFS,CA,5,005,Amador
6,7,FS-1418851,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,58,9,,FORK,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1400,0.1,A,38.68833333,-120.15333333,5.0,USFS,CA,17,017,El Dorado
7,8,FS-1418854,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,3,02,BK5X,SLATE,,,,,,2005,2453437.5,67,1300,5.0,Debris Burning,2453437.5,67.0,1600,0.8,B,40.96805556,-122.43388889,13.0,STATE OR PRIVATE,CA,,,
8,9,FS-1418856,FED,FS-FIRESTAT,FS,USCASHF,Shasta-Trinity National Forest,0514,Shasta-Trinity National Forest,5,03,BLPQ,SHASTA,,,,,,2005,2453444.5,74,1200,5.0,Debris Burning,2453444.5,74.0,1700,1.0,B,41.23361111,-122.28333333,13.0,STATE OR PRIVATE,CA,,,
9,10,FS-1418859,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,61,10,,TANGLEFOOT,,,,,,2004,2453187.5,183,1800,1.0,Lightning,2453188.5,184.0,1800,0.1,A,38.54833333,-120.14916667,5.0,USFS,CA,5,005,Amador
10,11,FS-1418861,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,64,11,,FORK #2,,,,,,2004,2453188.5,184,1830,1.0,Lightning,2453189.5,185.0,1900,0.1,A,38.69166667,-120.15972222,5.0,USFS,CA,17,017,El Dorado
11,12,FS-1418863,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,71,14,,MOKE #2,,,,,,2004,2453188.5,184,1730,1.0,Lightning,2453189.5,185.0,2000,0.1,A,38.5275,-120.10611111,5.0,USFS,CA,5,005,Amador
12,13,FS-1418865,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,91,26,,WRIGHTS,,,,,,2004,2453251.5,247,1600,9.0,Miscellaneous,2453251.5,247.0,1630,0.1,A,38.78666667,-120.19333333,5.0,USFS,CA,17,017,El Dorado
13,14,FS-1418872,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,99,21,,TIGER,,,,,,2004,2453276.5,272,1200,4.0,Campfire,2453276.5,272.0,1800,6.0,B,38.43333333,-120.51,14.0,MISSING/NOT SPECIFIED,CA,5,005,Amador
14,15,FS-1418874,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,102,28,,BROWN,,,,,,2004,2453281.5,277,0630,1.0,Lightning,2453281.5,277.0,1500,0.2,A,38.67583333,-120.27972222,5.0,USFS,CA,17,017,El Dorado
15,16,FS-1418876,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,103,22,,SOPIAGO,,,,,,2004,2453281.5,277,0930,1.0,Lightning,2453281.5,277.0,1400,0.1,A,38.56416667,-120.54222222,5.0,USFS,CA,17,017,El Dorado
16,17,FS-1418878,FED,FS-FIRESTAT,FS,USCAENF,Eldorado National Forest,0503,Eldorado National Forest,109,23,,POWER,CA-ENF-017646,POWER,CA3850212028020041006,POWER,,2004,2453284.5,280,1415,2.0,Equipment Use,2453299.5,295.0,1000,16823.0,G,38.52333333,-120.21166667,5.0,USFS,CA,5,005,Amador
